item_name,item_en_name,item_alias,reference_range,unit,high_meaning,low_meaning
血糖,GLU,空腹血糖/葡萄糖,3.9-6.1,mmol/L,通用科普信息：升高可能与饮食、应激、检测误差等多因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与进食不足、运动消耗等多因素相关，建议结合复查与医生意见综合评估。
糖化血红蛋白,HbA1c,糖化血红蛋白A1c/糖化,4.0-6.0,%,通用科普信息：升高可能与近2~3个月的平均血糖水平偏高相关，建议结合饮食与用药情况由医生综合评估。,通用科普信息：降低可能与贫血、失血、红细胞寿命缩短等因素相关，建议结合复查与医生意见综合评估。
白细胞计数,WBC,白细胞/白血球/白血细胞,3.5-9.5,10^9/L,通用科普信息：升高可能与感染、应激、剧烈运动、部分药物等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与病毒感染、部分药物、造血功能变化等因素相关，建议结合复查与医生意见综合评估。
红细胞计数,RBC,红细胞/红血球,3.8-5.8,10^12/L,通用科普信息：升高可能与长期缺氧、脱水导致血液浓缩等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与营养摄入不足、失血、女性生理期等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。
血红蛋白,HGB,Hb/血色素,115-175,g/L,通用科普信息：升高可能与长期缺氧、脱水导致血液浓缩等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与营养摄入不足、失血、慢性疾病等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。
红细胞压积,HCT,血细胞比容/压积,35-50,%,通用科普信息：升高可能与脱水、血液浓缩等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与贫血、血液稀释等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。
平均红细胞体积,MCV,红细胞平均体积,80-100,fL,通用科普信息：升高常见于叶酸或维生素B12摄入不足等情况，建议结合其他红细胞指标与医生意见综合评估。,通用科普信息：降低常见于铁摄入不足等情况，建议结合其他红细胞指标与医生意见综合评估。
平均红细胞血红蛋白量,MCH,,27-34,pg,通用科普信息：升高或降低的常见原因与平均红细胞体积类似，建议结合其他红细胞指标与医生意见综合评估。,通用科普信息：升高或降低的常见原因与平均红细胞体积类似，建议结合其他红细胞指标与医生意见综合评估。
平均红细胞血红蛋白浓度,MCHC,,320-360,g/L,通用科普信息：升高少见，可能与血液浓缩等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与铁摄入不足、慢性疾病等因素相关，建议结合复查与医生意见综合评估。
血小板计数,PLT,血小板,125-350,10^9/L,通用科普信息：升高可能与感染、应激、脾脏因素等相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与病毒感染、部分药物、脾脏因素等相关，建议结合复查与医生意见综合评估。
中性粒细胞百分比,NEUT%,中性粒细胞/NEUT,40-75,%,通用科普信息：升高可能与细菌感染、应激等因素相关，建议结合白细胞总数与医生意见综合评估。,通用科普信息：降低可能与病毒感染、部分药物等因素相关，建议结合复查与医生意见综合评估。
淋巴细胞百分比,LYMPH%,淋巴细胞/LYMPH,20-50,%,通用科普信息：升高可能与病毒感染等因素相关，建议结合白细胞总数与医生意见综合评估。,通用科普信息：降低可能与应激、部分药物等因素相关，建议结合复查与医生意见综合评估。
单核细胞百分比,MONO%,单核细胞/MONO,3-10,%,通用科普信息：升高可能与感染、炎症状态等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合其他指标与医生意见综合评估。
嗜酸性粒细胞百分比,EO%,嗜酸性粒细胞/嗜酸细胞/EO,0.4-8,%,通用科普信息：升高可能与过敏、寄生虫感染、部分药物等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合其他指标与医生意见综合评估。
嗜碱性粒细胞百分比,BASO%,嗜碱性粒细胞/嗜碱细胞/BASO,0-1,%,通用科普信息：升高单独出现的参考意义有限，建议结合其他指标与医生意见综合评估。,通用科普信息：低于参考下限的情况较常见，通常不单独解读，建议结合其他指标与医生意见综合评估。
丙氨酸氨基转移酶,ALT,谷丙转氨酶/丙氨酸转氨酶/转氨酶,7-50,U/L,通用科普信息：升高可能与饮酒、近期用药、体重偏高、病毒性肝炎等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合复查与医生意见综合评估。
天门冬氨酸氨基转移酶,AST,谷草转氨酶/天门冬氨酸转氨酶,13-40,U/L,通用科普信息：升高可能与饮酒、近期用药、剧烈运动、心肌或肝细胞因素等相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合复查与医生意见综合评估。
总胆红素,TBIL,胆红素,3.4-17.1,μmol/L,通用科普信息：升高可能与红细胞破坏增多、肝细胞处理能力变化、进食不足等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合复查与医生意见综合评估。
直接胆红素,DBIL,结合胆红素,0-6.8,μmol/L,通用科普信息：升高可能与胆汁排出受阻等因素相关，建议结合其他肝功能指标与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合复查与医生意见综合评估。
总蛋白,TP,血清总蛋白,65-85,g/L,通用科普信息：升高可能与脱水导致血液浓缩等因素相关，建议结合白蛋白与球蛋白水平综合评估。,通用科普信息：降低可能与营养摄入不足、肝脏合成能力变化、蛋白丢失等因素相关，建议结合复查与医生意见综合评估。
白蛋白,ALB,血清白蛋白,40-55,g/L,通用科普信息：升高多与脱水导致血液浓缩相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与营养摄入不足、肝脏合成能力变化、蛋白丢失等因素相关，建议结合复查与医生意见综合评估。
球蛋白,GLB,血清球蛋白,20-35,g/L,通用科普信息：升高可能与慢性炎症、感染等因素相关，建议结合白球比与医生意见综合评估。,通用科普信息：降低可能与免疫功能变化、蛋白丢失等因素相关，建议结合复查与医生意见综合评估。
白球比,A/G,白球比值/白蛋白球蛋白比值,1.2-2.4,,通用科普信息：升高多与白蛋白相对偏高或球蛋白偏低相关，建议结合其他肝功能指标与医生意见综合评估。,通用科普信息：降低可能与球蛋白升高或白蛋白降低相关，建议结合其他肝功能指标与医生意见综合评估。
碱性磷酸酶,ALP,碱性磷酸酶AKP,35-125,U/L,通用科普信息：升高可能与骨骼生长代谢、胆汁排出、近期用药等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合复查与医生意见综合评估。
γ-谷氨酰转移酶,GGT,谷氨酰转肽酶/γ-GT/r-GT,7-60,U/L,通用科普信息：升高可能与饮酒、近期用药、胆汁排出等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限，建议结合复查与医生意见综合评估。
尿素,BUN,尿素氮/血尿素氮,3.1-8.0,mmol/L,通用科普信息：升高可能与蛋白摄入偏高、脱水、肾脏排泄能力变化等因素相关，建议结合肌酐与医生意见综合评估。,通用科普信息：降低可能与蛋白摄入不足、肝脏合成能力变化等因素相关，建议结合复查与医生意见综合评估。
